time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
176.47,3.634218,2179.375,7.920323853749999,0.9802,1,13,13.76,33.9
177.39,3.643437,2211.875,8.058827214375,0.9255,1,13,12.76,33.9
178.60,3.711406,996.25,3.6974882275,0.7921,1,13,25.16,33.9
179.40,3.720937,834.687,3.105817741719,0.7072,1,13,61.73,33.9
180.35,3.712656,960.937,3.567628518672,0.7509,1,13,49.20,33.7
181.30,3.618125,2865.312,10.36705698,0.9130,1,13,40.97,33.7
182.38,3.721875,885.625,3.296185546875,0.6688,1,13,47.68,33.7
183.55,3.625468,2658.75,9.639213045,0.8888,1,13,19.34,34.0
184.31,3.65,2985.0,10.895249999999999,0.8597,1,13,21.60,34.0
185.31,3.67,1487.812,5.460270039999999,0.7180,1,13,22.07,33.9
186.31,3.612031,2626.875,9.488353933125,0.8016,1,13,30.34,33.9
187.54,3.675625,1315.312,4.834593669999999,0.6417,1,13,50.78,33.9
188.45,3.666875,1700.0,6.2336875,0.6112,1,13,50.20,33.8
189.53,3.69125,1188.75,4.3879734375,0.4596,1,13,17.93,33.8
190.67,3.6925,1063.125,3.9255890625000003,0.4864,1,13,15.68,33.8
191.63,3.70375,936.562,3.4687915074999998,0.5000,1,13,16.23,33.9
192.54,3.693437,965.625,3.5664751031249997,0.5836,1,13,27.04,33.9
193.63,3.7,1252.187,4.6330919,0.4959,1,13,13.19,33.9
194.72,3.69875,1255.0,4.64193125,0.5062,1,13,13.89,33.8
195.74,3.677656,1660.937,6.108354923672,0.6121,1,13,13.67,33.8
196.53,3.607031,2636.562,9.510160867422,0.9008,1,13,13.94,34.0
197.79,3.666562,1723.125,6.31794464625,0.6288,1,13,16.07,34.0
198.83,3.745156,284.062,1.0638565036720002,0.2576,1,13,24.40,34.0
199.72,3.7425,365.937,1.3695192225000001,0.2948,1,13,39.21,33.7
200.88,3.752968,235.625,0.884293085,0.1718,1,13,464.89,33.7
201.87,3.752187,240.0,0.90052488,0.1900,1,13,1024.50,33.7
202.94,3.735,1678.125,6.267796875,0.2750,1,13,1085.61,33.8
203.86,3.750937,217.5,0.8158287975,0.2932,1,13,1607.88,33.8
204.94,3.756562,265.312,0.996660977344,0.1723,1,13,20.80,33.8
205.94,3.690781,1391.25,5.13479906625,0.3103,1,13,14.37,33.8
207.08,3.755312,332.5,1.24864124,0.3037,1,13,14.47,33.8
207.78,3.679218,1738.437,6.396088702266,0.5451,1,13,18.84,33.7
208.78,3.716093,1086.875,4.038928579375,0.3197,1,13,16.55,33.7
209.74,3.647968,1986.25,7.24577644,0.5605,1,13,14.69,33.7
210.78,3.707656,1100.0,4.0784216,0.4119,1,13,14.20,33.8
211.75,3.673125,1605.0,5.895365625,0.5805,1,13,15.39,33.8
212.98,3.716406,839.687,3.120617804922,0.4977,1,13,13.20,33.8
213.84,3.716875,842.5,3.1314671875,0.4066,1,13,14.27,33.8
214.83,3.732343,640.312,2.389864011016,0.3953,1,13,13.20,33.8
215.77,3.720312,1038.437,3.863309632343999,0.4263,1,13,14.35,33.8
216.82,3.732656,632.812,2.362069508672,0.3891,1,13,14.18,33.8
217.95,3.705781,1078.437,3.9964513442969993,0.4725,1,13,15.17,33.8
218.81,3.723125,742.5,2.7644203125,0.4093,1,13,14.36,33.8
220.13,3.729375,622.812,2.3226995025000003,0.4005,1,13,13.49,33.9
220.81,3.700937,1130.937,4.185526587969,0.4788,1,13,13.22,33.9
221.85,3.71875,774.062,2.8785430625,0.3773,1,13,13.57,33.8
222.83,3.731093,824.062,3.074651959766,0.3429,1,13,13.35,33.8
223.85,3.71625,1266.562,4.7068610325,0.3842,1,13,14.43,33.8
224.92,3.725937,740.0,2.75719338,0.3870,1,13,13.40,33.9
226.00,3.66625,1805.937,6.621016526249999,0.4937,1,13,13.33,33.9
226.90,3.717656,845.937,3.144902763672,0.4772,1,13,13.59,33.9
227.95,3.707187,1037.5,3.8462065125000002,0.4399,1,13,14.08,33.9
228.95,3.714687,999.687,3.713524302969,0.4284,1,13,14.62,33.9
229.92,3.712031,985.312,3.657508688672,0.4638,1,13,14.59,33.9
230.96,3.7025,1379.687,5.108291117499999,0.4713,1,13,13.44,33.9
231.96,3.72375,726.875,2.70670078125,0.4356,1,13,14.07,33.9
232.98,3.723593,937.5,3.4908684375,0.4390,1,13,14.03,33.9
233.98,3.718906,838.125,3.11690809125,0.4621,1,13,13.70,33.9
235.07,3.706875,1086.562,4.027749513749999,0.4663,1,13,13.20,33.9
235.98,3.686093,1241.562,4.576512997266,0.5563,1,13,12.80,34.0
237.14,3.698125,1157.812,4.2817335025,0.4534,1,13,13.92,34.0
238.13,3.701562,1151.25,4.2614232525,0.5294,1,13,14.02,34.0
239.00,3.707031,1005.625,3.7278830493750004,0.4774,1,13,14.22,34.0
240.05,3.714531,881.562,3.274589377422,0.5168,1,13,16.35,34.0
241.08,3.723906,648.437,2.4147184349220003,0.4390,1,13,14.84,34.0
242.05,3.722968,790.312,2.942306286016,0.4526,1,13,15.31,34.0
243.12,3.693437,1412.5,5.2169797625,0.4974,1,13,14.25,34.0
244.07,3.712031,837.5,3.1088259625,0.5290,1,13,14.71,34.0
245.21,3.723593,754.687,2.8101472303910002,0.4420,1,13,14.31,34.0
246.12,3.726562,770.0,2.86945274,0.3937,1,13,14.02,34.0
247.12,3.726562,762.5,2.841503525,0.4002,1,13,16.57,34.0
248.14,3.711093,1131.25,4.198173956250001,0.4448,1,13,17.17,34.0
249.11,3.719843,854.687,3.179301454141,0.4176,1,13,14.46,34.0
250.12,3.7225,851.25,3.168778125,0.4219,1,13,14.35,34.1
251.29,3.72625,710.312,2.64680009,0.4036,1,13,14.24,34.1
252.11,3.724218,846.875,3.15394711875,0.4362,1,13,15.22,34.1
253.18,3.72625,900.312,3.35478759,0.4114,1,13,14.87,34.0
254.34,3.72875,759.062,2.8303524325,0.4027,1,13,14.02,34.0
255.21,3.728906,799.375,2.9807942337499997,0.4070,1,13,15.16,34.0
256.24,3.725781,691.562,2.576608559922,0.3988,1,13,13.50,34.1
257.26,3.725781,691.562,2.576608559922,0.3976,1,13,14.05,34.1
258.30,3.72625,748.75,2.7900296875,0.4009,1,13,14.15,34.1
259.21,3.728125,751.562,2.80191708125,0.4300,1,13,13.73,34.0
260.25,3.726093,768.75,2.86443399375,0.4103,1,13,14.36,34.0
261.24,3.731093,640.312,2.389063621016,0.4319,1,13,13.89,34.1
262.29,3.725781,735.937,2.7419400917970003,0.4305,1,13,15.47,34.1
263.27,3.72625,819.375,3.0531960937499996,0.4091,1,13,15.23,34.1
264.53,3.723593,703.125,2.618151328125,0.4155,1,13,14.34,34.1
265.32,3.73375,888.437,3.3172016487500002,0.4157,1,13,14.27,34.1
266.45,3.718281,1003.437,3.7310607317969997,0.4187,1,13,13.76,34.1
267.29,3.722812,831.562,3.095748992344,0.4620,1,13,13.26,34.0
268.45,3.715,863.437,3.207668455,0.4400,1,13,13.72,34.0
269.31,3.726562,765.937,2.854311718594,0.4226,1,13,12.83,34.0
270.31,3.727656,824.687,3.0741494436720003,0.4127,1,13,13.72,34.1
271.31,3.728437,792.5,2.9547863225,0.4127,1,13,14.00,34.1
272.32,3.726093,930.312,3.466429031016,0.4297,1,13,12.91,34.1
273.34,3.718437,770.0,2.8631964900000004,0.4214,1,13,15.22,34.0
274.42,3.720625,1020.312,3.7961983350000006,0.4151,1,13,15.20,34.0
275.42,3.71875,1024.062,3.8082305624999995,0.4318,1,13,14.75,34.1
276.44,3.724843,882.812,3.288336098516,0.4135,1,13,14.36,34.1
277.46,3.727343,870.312,3.243951341016,0.4100,1,13,16.59,34.1
278.57,3.723437,746.562,2.7797765735940003,0.4224,1,13,13.45,34.1
279.48,3.725156,819.375,3.0522996975,0.4177,1,13,13.62,34.1
280.38,3.72,967.187,3.59793564,0.4378,1,13,12.92,34.1
281.40,3.715781,752.5,2.7961252025,0.4136,1,13,13.92,34.1
282.45,3.72625,929.687,3.46424618375,0.4176,1,13,15.06,34.1
283.48,3.729062,712.812,2.658120142344,0.4022,1,13,14.27,34.1
284.52,3.728437,635.312,2.368720767344,0.4190,1,13,13.58,34.1
285.43,3.721875,928.75,3.4566914062499996,0.4206,1,13,14.40,34.1
286.44,3.732968,645.312,2.408929046016,0.4080,1,13,14.06,34.1
287.45,3.734687,685.0,2.558260595,0.4100,1,13,14.22,34.1
288.59,3.719531,816.875,3.038391885625,0.4814,1,13,13.30,34.1
289.43,3.705937,992.187,3.676982514219,0.4892,1,13,13.93,34.2
290.54,3.718125,680.312,2.5294850550000003,0.4326,1,13,13.30,34.2
291.53,3.727968,698.437,2.603750786016,0.4144,1,13,13.57,34.2
292.49,3.729531,693.437,2.586194788047,0.4242,1,13,14.50,34.0
294.12,3.717656,972.5,3.61542046,0.4004,1,13,15.45,34.0
294.36,3.72875,642.187,2.39455477625,0.5487,1,13,14.78,34.0
295.46,3.707812,847.812,3.1435275073440003,0.4563,1,13,13.49,34.1
296.50,3.711875,756.562,2.8082635737499997,0.4096,1,13,14.03,34.1
297.50,3.728281,741.25,2.76358829125,0.4121,1,13,14.00,34.1
298.65,3.724218,719.062,2.677943643516,0.3929,1,13,14.10,34.1
299.55,3.719218,953.75,3.5472041675,0.4265,1,13,15.13,34.1
300.79,3.716562,665.937,2.474996148594,0.4045,1,13,13.70,34.1
301.65,3.731406,636.25,2.3741070675,0.4244,1,13,12.50,34.1
302.55,3.727187,803.75,2.9957265512499998,0.4197,1,13,14.52,34.1
303.55,3.720937,917.187,3.412795044219,0.4135,1,13,14.58,34.2
304.85,3.72875,681.875,2.54254140625,0.4135,1,13,15.25,34.2
305.58,3.718281,878.125,3.265115503125,0.4220,1,13,13.92,34.2
306.67,3.724062,880.312,3.278336467344,0.4074,1,13,17.28,34.1
307.88,3.726093,952.187,3.547937315391,0.4060,1,13,14.67,34.1
308.68,3.722968,803.125,2.990008675,0.4170,1,13,13.65,34.1
309.96,3.723906,742.5,2.765000205,0.4102,1,13,13.73,34.2
310.67,3.716093,993.75,3.69286741875,0.4320,1,13,13.53,34.2
311.67,3.718125,652.812,2.4272366175,0.4091,1,13,14.40,34.2
312.66,3.730468,825.937,3.0811315485160002,0.4130,1,13,14.11,34.2
313.68,3.729062,710.312,2.6487974873440003,0.4244,1,13,13.36,34.2
314.75,3.727031,844.687,3.148174634297,0.4196,1,13,15.32,34.1
315.73,3.728437,696.562,2.5970875335940002,0.4100,1,13,14.44,34.1
316.88,3.715156,857.812,3.186905398672,0.4180,1,13,14.20,34.1
317.72,3.72875,773.75,2.8851203125000002,0.4211,1,13,13.24,34.2
318.83,3.727343,877.5,3.2707434824999995,0.4050,1,13,13.39,34.2
320.06,3.724218,1002.812,3.7346905010160003,0.3782,1,13,13.62,34.2
320.75,3.718437,685.937,2.550613520469,0.4026,1,13,14.42,34.1
321.72,3.725937,670.625,2.498706500625,0.4171,1,13,14.11,34.1
322.72,3.723906,750.625,2.79525694125,0.3952,1,13,14.18,34.1
323.78,3.729843,721.562,2.691312974766,0.3891,1,13,14.00,34.1
324.86,3.732031,700.625,2.6147542193750004,0.3922,1,13,13.82,34.1
325.74,3.73125,585.937,2.18627743125,0.4144,1,13,14.23,34.1
327.01,3.731562,598.125,2.23194052125,0.4101,1,13,14.36,34.2
327.91,3.731093,675.937,2.521983809141,0.4308,1,13,13.63,34.2
328.83,3.725312,719.375,2.67989632,0.4061,1,13,14.64,34.2
329.86,3.72875,777.187,2.8979360262499996,0.4160,1,13,13.64,34.2
330.96,3.724687,783.125,2.9168955068749995,0.4086,1,13,13.07,34.2
331.92,3.72875,841.562,3.1379743075,0.4216,1,13,13.12,34.1
332.85,3.726718,668.125,2.48991346375,0.4077,1,13,13.99,34.1
333.83,3.725937,774.375,2.8852724643750003,0.4336,1,13,12.58,34.1
334.91,3.727187,718.437,2.6777490467189997,0.4442,1,13,13.86,34.1
335.83,3.716406,862.5,3.2054001750000003,0.4128,1,13,13.72,34.1
336.94,3.722968,825.625,3.0737754550000003,0.4154,1,13,14.61,34.1
338.43,3.72875,740.937,2.7627688387499996,0.4017,1,13,14.14,34.1
338.88,3.715625,935.312,3.4752686500000003,0.4279,1,13,14.58,34.1
339.97,3.722656,727.187,2.707067048672,0.4072,1,13,14.15,34.1
341.34,3.718593,691.25,2.57047741125,0.4065,1,13,13.15,34.1
341.97,3.724687,755.625,2.8144666143749997,0.4293,1,13,14.65,34.1
342.92,3.716875,889.375,3.305695703125,0.4134,1,13,14.12,34.2
